t_index term df
1008 coverag 2
1009 cow 1
1010 cowardli 7
1011 cowboy 1
1012 cowl 1
1013 cpn 2
1014 crack 12
1015 craft 3
1016 craig 1
1017 cram 1
1018 crane 2
1019 crash 22
1020 crater 3
1021 crawl 3
1022 crazi 4
1023 creat 8
1024 creation 1
1025 credenti 2
1026 credit 2
1027 crept 1
1028 crest 1
1029 crevic 1
1030 crew 17
1031 crewmemb 1
1032 crewmen 1
1033 cri 4
1034 crime 8
1035 crimin 14
1036 crippl 2
1037 crise 5
1038 crisi 13
1039 critic 16
1040 croat 2
1041 croatia 2
1042 croatian 2
1043 croifl 1
1044 crop 1
1045 crosbi 3
1046 cross 13
1047 crosscourt 2
1048 crowd 10
1049 crowley 4
1050 crucial 5
1051 cruis 2
1052 cruiser 1
1053 crumbl 6
1054 crush 2
1055 crust 1
1056 cuba 1
1057 culmin 4
1058 culprit 1
1059 cultiv 1
1060 cultur 2
1061 cun 1
1062 cup 3
1063 cupboard 1
1064 curfew 4
1065 curiou 1
1066 current 10
1067 curtail 2
1068 curtain 1
1069 cussin 1
1070 custodi 1
1071 custom 4
1072 customari 1
1073 cut 15
1074 cynic 1
1075 czech 2
1076 dad 1
1077 daili 5
1078 dakota 11
1079 daley 2
1080 dalla 9
1081 dalworthington 1
1082 damag 23
1083 damir 1
1084 dan 3
1085 danah 2
1086 dancer 3
1087 danforth 1
1088 danger 21
1089 daniel 3
1090 daniela 4
1091 dapist 1
1092 dare 1
1093 daren 3
1094 dark 7
1095 darken 1
1096 darrel 1
1097 daschl 1
1098 dash 1
1099 dashboard 1
1100 data 1
1101 date 5
1102 datelin 3
1103 daughter 9
1104 dave 2
1105 davenport 7
1106 davi 1
1107 david 17
1108 davidian 2
1109 dawn 3
1110 day 54
1111 daybreak 1
1112 daylight 1
1113 dc 1
1114 de 4
1115 dead 30
1116 deadli 4
1117 deadlin 5
1118 deal 8
1119 dear 3
1120 dearli 2
1121 death 41
1122 debat 13
1123 debri 7
1124 decad 16
1125 decemb 13
1126 decentr 1
1127 decid 25
1128 decis 22
1129 declar 14
1130 declassifi 1
1131 declin 8
1132 decod 1
1133 decrat 1
1134 dedic 3
1135 deep 6
1136 deepen 1
1137 deeper 1
1138 deepli 4
1139 defac 1
1140 default 1
1141 defeat 16
1142 defend 18
1143 defens 21
1144 defi 1
1145 defianc 2
1146 defiant 2
1147 defiantli 2
1148 deficit 1
1149 definit 8
1150 defoli 1
1151 deforest 2
1152 defraud 1
1153 defus 1
1154 degre 6
1155 delawar 1
1156 delay 3
1157 deleg 2
1158 delhi 6
1159 deliv 1
1160 delus 2
1161 demagogu 2
1162 demand 9
1163 demeanor 2
1164 dementieva 1
1165 demis 2
1166 democraci 11
1167 democrat 37
1168 demon 2
1169 demonstr 10
1170 demystifi 1
1171 deni 15
1172 denial 2
1173 denounc 2
1174 dens 1
1175 denver 5
1176 depart 32
1177 departur 3
1178 depend 7
1179 depict 1
1180 deplor 1
1181 deploy 2
1182 deport 1
1183 deportieren 1
1184 deposit 1
1185 depress 1
1186 depth 5
1187 deputi 5
1188 descend 5
1189 descent 1
1190 describ 11
1191 descript 1
1192 desert 4
1193 deserv 3
1194 design 9
1195 desir 2
1196 desper 10
1197 despic 7
1198 despit 16
1199 destabil 1
1200 destroy 21
1201 destruct 4
1202 detail 7
1203 detect 1
1204 detent 2
1205 deter 6
1206 deterior 2
1207 determin 14
1208 detour 4
1209 devast 6
1210 develop 20
1211 devic 2
1212 devilish 1
1213 dhahran 1
1214 dhingra 1
1215 diagnos 3
1216 diagnosi 1
1217 dialo 3
1218 dialogu 2
1219 diamond 3
1220 dick 1
1221 dictat 5
1222 dictatori 1
1223 die 35
1224 differ 8
1225 difficult 13
1226 difficulti 3
1227 dig 17
1228 digger 1
1229 digit 1
1230 dignitari 1
1231 digniti 1
1232 dinner 1
1233 dioulo 1
1234 diplomat 8
1235 direct 8
1236 directli 3
1237 director 18
1238 diring 1
1239 dirt 12
1240 dirti 2
1241 disabl 1
1242 disaffect 1
1243 disagre 1
1244 disappear 5
1245 disappoint 2
1246 disarray 1
1247 disast 10
1248 disastr 1
1249 disciplin 2
1250 discov 5
1251 discrep 2
1252 discret 2
1253 discuss 8
1254 disdain 3
1255 diseas 3
1256 disenfranchis 1
1257 disguis 1
1258 disgust 1
1259 dishonor 2
1260 dismal 1
1261 dismantl 1
1262 dismiss 2
1263 disobedi 5
1264 disord 1
1265 disori 1
1266 dispatch 6
1267 dispel 1
1268 dispers 2
1269 display 9
1270 dispos 2
1271 disput 4
1272 disqualifi 3
1273 disrespect 2
1274 disrupt 3
1275 dissent 1
1276 distanc 3
1277 distant 1
1278 distinct 2
1279 distinguish 2
1280 distraught 6
1281 distress 1
1282 distribut 3
1283 district 1
1284 disturb 4
1285 dive 12
1286 diver 13
1287 divers 2
1288 divid 4
1289 divis 5
1290 djila 1
1291 djindjic 2
1292 dock 7
1293 doctor 13
1294 document 10
1295 dog 4
1296 dokic 1
1297 dollar 1
1298 domin 6
1299 dominican 1
1300 dominikov 1
1301 dominiqu 1
1302 domino 1
1303 donald 3
1304 donat 3
1305 done 14
1306 door 6
1307 doorway 2
1308 dorothi 2
1309 dot 2
1310 doubl 6
1311 doubt 13
1312 dougal 3
1313 dougla 1
1314 dow 1
1315 down 1
1316 downtown 7
1317 dows 1
1318 dozen 14
1319 draft 3
1320 drag 4
1321 drain 2
1322 drama 2
1323 draman 9
1324 dramat 5
1325 drastic 1
1326 draw 10
1327 drawn 2
1328 dream 1
1329 dress 2
1330 drew 1
1331 dri 3
1332 drift 1
1333 drissa 3
1334 drive 8
1335 driver 5
1336 drop 6
1337 drove 1
1338 drown 1
1339 drug 7
1340 duc 1
1341 duct 1
1342 due 5
1343 dug 5
1344 duglon 1
1345 dump 1
1346 durango 2
1347 dust 1
1348 dusti 1
1349 duti 5
1350 dwell 1
1351 dwindl 2
1352 dy 2
1353 dygalo 1
1354 eager 2
1355 eagl 1
1356 earli 22
1357 earlier 26
1358 earn 1
1359 earnest 1
1360 earth 10
1361 earthmov 2
1362 earthquak 29
1363 eas 7
1364 easi 4
1365 easier 2
1366 easili 4
1367 east 19
1368 eastern 7
1369 echo 7
1370 econom 15
1371 economi 17
1372 economist 1
1373 ecuador 1
1374 ed 5
1375 edg 4
1376 editor 3
1377 editori 1
1378 edmond 6
1379 edmund 9
1380 edmundo 1
1381 edt 5
1382 educ 9
1383 edwin 1
1384 effect 13
1385 effici 1
1386 effort 27
1387 eg 1
1388 egg 1
1389 egotist 2
1390 egypt 4
1391 egyptian 1
1392 ehud 3
1393 eighti 1
1394 either 7
1395 el 18
1396 elabor 1
1397 elat 1
1398 elbow 5
1399 elect 57
1400 elector 9
1401 electr 12
1402 electrician 1
1403 electron 1
1404 element 2
1405 elena 1
1406 elig 4
1407 elimin 4
1408 elit 3
1409 elizabeth 2
1410 ellen 2
1411 elli 1
1412 elliot 1
1413 ellips 2
1414 ellwood 1
1415 els 4
1416 elsewher 4
1417 embargo 4
1418 embassi 13
1419 embattl 3
1420 embrac 4
1421 emerg 29
1422 emigr 3
1423 emil 4
1424 emilio 2
1425 emot 3
1426 emphas 1
1427 emphat 1
1428 empir 2
1429 employ 4
1430 employe 23
1431 empti 3
1432 en 14
1433 enabl 1
1434 enact 1
1435 encor 1
1436 encount 5
1437 encourag 6
1438 end 43
1439 endang 3
1440 endors 1
1441 enemi 5
1442 energet 1
1443 energi 5
1444 enforc 10
1445 engag 3
1446 engin 13
1447 english 3
1448 enjoy 2
1449 enlarg 2
1450 enmesh 1
1451 enorm 6
1452 enough 21
1453 enqvist 1
1454 ensur 4
1455 enter 4
1456 enterpris 1
1457 entertain 3
1458 entic 1
1459 entir 7
1460 entranc 1
1461 entrench 2
1462 entrepreneurship 1
1463 environ 1
1464 envoy 1
1465 epicent 8
1466 equal 2
1467 equip 14
1468 equival 2
1469 era 1
1470 eri 2
1471 ernesto 3
1472 erod 1
1473 eros 2
1474 error 6
1475 erupt 3
1476 escal 2
1477 escap 15
1478 escape 8
1479 escort 2
1480 escud 3
1481 especi 7
1482 espi 5
1483 espionag 9
1484 essay 3
1485 est 1
1486 establish 4
1487 estat 5
1488 estim 8
1489 et 1
1490 ethan 2
1491 ethnic 5
1492 europ 4
1493 european 8
1494 evacu 1
1495 evanel 1
1496 eve 15
1497 even 36
1498 event 10
1499 eventu 7
1500 ever 10
1501 everi 15
1502 eversinc 1
1503 evert 3
1504 everybodi 3
1505 everyday 1
1506 everyon 7
1507 everyth 14
1508 everywher 1
1509 evi 1
1510 evid 17
1511 exact 1
1512 exactli 3
1513 exam 1
1514 examin 9
1515 exampl 6
1516 exasper 1
1517 excav 6
1518 exceed 2
1519 excel 3
1520 except 2
1521 exchang 5
1522 excit 1
1523 exclud 9
1524 exclus 6
1525 excus 2
1526 execut 18
1527 exemplari 1
1528 exemplifi 1
1529 exercis 13
1530 exhaust 1
1531 exhibit 1
1532 exist 3
1533 exit 4
1534 exodu 1
1535 expand 8
1536 expect 29
1537 expel 1
1538 expens 5
1539 experi 8
1540 experienc 1
1541 expert 16
1542 expertis 2
1543 explain 7
1544 explan 4
1545 explicit 1
1546 explod 9
1547 explor 3
1548 explos 35
1549 export 9
1550 express 21
1551 extend 2
1552 extens 2
1553 extent 2
1554 extern 1
1555 extra 1
1556 extract 1
1557 extradit 2
1558 extravag 1
1559 extrem 2
1560 extric 1
1561 exult 1
1562 eye 4
1563 eyewit 2
1564 faa 1
1565 face 19
1566 facial 1
1567 facil 4
1568 fact 16
1569 factor 1
1570 factori 3
1571 fade 1
1572 fadeyev 1
1573 fail 19
1574 failur 1
1575 faint 1
1576 fair 11
1577 fairfax 1
1578 fairli 1
1579 faith 1
1580 fall 15
1581 fallen 6
1582 fals 4
1583 falsifi 4
1584 falter 1
1585 fame 1
1586 famili 28
1587 familiar 3
1588 far 23
1589 farewel 5
1590 farm 2
1591 farrier 1
1592 fascin 3
1593 fascist 2
1594 fashion 1
1595 faso 4
1596 fast 5
1597 faster 1
1598 fate 4
1599 father 12
1600 fatigu 1
1601 fault 3
1602 favor 6
1603 favorit 1
1604 fay 1
1605 fbi 20
1606 fda 1
1607 fear 23
1608 feat 5
1609 featur 5
1610 februari 1
1611 fed 3
1612 feder 19
1613 federico 8
1614 feed 2
1615 feel 20
1616 feet 7
1617 fell 6
1618 fellow 7
1619 feloni 5
1620 felt 23
1621 femal 1
1622 fenc 1
1623 fernando 3
1624 ferrer 1
1625 ferrero 7
1626 festiv 2
1627 fever 4
1628 fewer 4
1629 fiction 2
1630 fidel 1
1631 field 10
1632 fierc 5
1633 fifth 2
1634 fight 7
1635 fighter 2
1636 figur 26
1637 fijimori 1
1638 file 8
1639 fill 9
1640 final 18
1641 finalist 1
1642 financ 2
1643 financi 22
1644 find 38
1645 fine 11
1646 fingerprint 2
1647 finish 11
1648 fire 15
1649 firearm 2
1650 firefight 2
1651 fireston 1
1652 firework 1
1653 firm 9
1654 firmli 1
1655 first 74
1656 firstli 1
1657 fish 1
1658 fit 4
1659 fitzgerald 3
1660 fix 2
1661 flag 2
1662 flake 1
1663 flaku 2
1664 flare 2
1665 flash 1
1666 flat 1
1667 flatten 2
1668 fled 10
1669 flee 6
1670 fleet 9
1671 flew 3
1672 flexibl 1
1673 fli 15
1674 flight 10
1675 flimsi 1
1676 flood 9
1677 floor 7
1678 flore 5
1679 florez 1
1680 florida 12
1681 flow 2
1682 flower 4
1683 flown 2
1684 floyd 1
1685 fluster 1
1686 focu 5
1687 focus 5
1688 foe 3
1689 fofana 2
1690 fog 5
1691 foggi 4
1692 fold 1
1693 follow 29
1694 fond 1
1695 food 9
1696 foot 12
1697 footag 1
1698 forbid 1
1699 forbidden 1
1700 forc 51
1701 forcibl 1
1702 ford 3
1703 forecast 3
1704 foreclos 1
1705 forehand 2
1706 foreign 30
1707 forens 4
1708 forese 1
1709 forest 2
1710 forget 4
1711 forgiven 1
1712 forgotten 1
1713 form 13
1714 formal 6
1715 format 3
1716 former 47
1717 formerli 4
1718 fort 2
1719 fortifi 1
1720 fortun 2
1721 forum 10
1722 forward 12
1723 fought 2
1724 found 37
1725 foundat 2
1726 fourth 8
1727 fpi 1
1728 fpt 1
1729 fractur 2
1730 fragment 3
1731 frame 1
1732 framework 1
1733 franc 6
1734 franci 1
1735 franciscan 1
1736 francisco 14
1737 franjo 2
1738 frank 4
1739 frankli 1
1740 frantic 6
1741 fraud 14
1742 fraudul 3
1743 fraught 1
1744 free 11
1745 freed 5
1746 freedom 2
1747 freeh 5
1748 freeli 1
1749 freer 1
1750 freewheel 1
1751 fremd 1
